alias_city,urlReport,alias_address
Terenzo Scuole (Servizi igienici),https://www.montagna2000.com/terenzo-scuole-servizi-igienici/,Territorio
Fornovo di Taro Scuole (Servizi igienici),https://www.montagna2000.com/fornovo-di-taro-scuole-servizi-igienici/,Territorio
Fornovo di Taro Serbatoio Tebaldi,https://www.montagna2000.com/fornovo-di-taro-serbatoio-tebaldi/,Territorio
Terenzo Municipio,https://www.montagna2000.com/terenzo-municipio/,Territorio
Varsi Scuole (Servizi igienici),https://www.montagna2000.com/varsi-scuole-servizi-igienici/,Territorio
Varano Melegari  Scuole (Servizi igienici),https://www.montagna2000.com/varano-melegari-scuole-servizi-igienici/,Territorio
Valmozzola Prelerna cimitero (Acq Monte Barigazzo) (punto unico con Solignano),https://www.montagna2000.com/valmozzola-prelerna-cimitero-acq-monte-barigazzo-punto-unico-con-solignano/,Territorio
Tornolo Scuole (Servizi igienici) Tarsogno,https://www.montagna2000.com/tornolo-scuole-servizi-igienici-tarsogno/,Territorio
Tornolo Piazza del monumento (municipio Tornolo),https://www.montagna2000.com/tornolo-piazza-del-monumento-municipio-tornolo/,Territorio
Tornolo Scuole (Servizi igienici),https://www.montagna2000.com/tornolo-scuole-servizi-igienici/,Territorio
Pellegrino Parmense Scuole (Servizi igienici),https://www.montagna2000.com/pellegrino-parmense-scuole-servizi-igienici/,Territorio
Pellegrino Parmense Casa Rossa / Fontana via Roma,https://www.montagna2000.com/pellegrino-parmense-casa-rossa-fontana-via-roma/,Territorio
Compiano P.zza Duca Abruzzi,https://www.montagna2000.com/compiano-p-zza-duca-abruzzi/,Territorio
Bedonia Scuole (Servizi igienici),https://www.montagna2000.com/bedonia-scuole-servizi-igienici/,Territorio
Compiano Scuole Isola (servizi igienici),https://www.montagna2000.com/compiano-scuole-isola-servizi-igienici/,Territorio
Varano De’ Melegari via G. Marconi,https://www.montagna2000.com/varano-de-melegari-via-g-marconi/,Territorio
Bedonia Castagnola,https://www.montagna2000.com/bedonia-castagnola/,Territorio
Bedonia Piazza Municipo,https://www.montagna2000.com/bedonia-piazza-municipo/,Territorio
Bedonia Piazza Seminario,https://www.montagna2000.com/bedonia-piazza-seminario/,Territorio
Bardi Scuole (Servizi igienici),https://www.montagna2000.com/bardi-scuole-servizi-igienici/,Territorio
Bardi Piazza Vittoria,https://www.montagna2000.com/bardi-piazza-vittoria/,Territorio
Solignano Scuole (Servizi igienici),https://www.montagna2000.com/solignano-scuole-servizi-igienici/,Territorio
Solignano Cimitero Rubbiano,https://www.montagna2000.com/solignano-cimitero-rubbiano/,Territorio
Solignano Fontanella Stazione,https://www.montagna2000.com/solignano-fontanella-stazione/,Territorio
Bore Scuole (Servizi igienici),https://www.montagna2000.com/bore-scuole-servizi-igienici/,Territorio
Bore Fontana capoluogo via Roma,https://www.montagna2000.com/bore-fontana-capoluogo-via-roma/,Territorio
Fornovo di Taro Stazione FS Fornovo,https://www.montagna2000.com/fornovo-di-taro-stazione-fs-fornovo/,Territorio
Fornovo di Taro Asilo Riccò,https://www.montagna2000.com/fornovo-di-taro-asilo-ricco/,Territorio
Borgo Val di Taro Asilo San Rocco,https://www.montagna2000.com/borgo-val-di-taro-asilo-san-rocco/,Territorio
Borgo Val di Taro Giardini  IV Novembre,https://www.montagna2000.com/borgo-val-di-taro-giardini-iv-novembre/,Territorio
Borgo Val di Taro P.zza Cavour,https://www.montagna2000.com/borgo-val-di-taro-p-zza-cavour/,Territorio
Piantonia cimitero (Monte Bosso) Fornovo,https://www.montagna2000.com/piantonia-cimitero-monte-bosso-fornovo/,Territorio
Varsi P.zza Chiesa,https://www.montagna2000.com/varsi-p-zza-chiesa/,Territorio
Tornolo Santa Maria Taro / Fontana chiesa,https://www.montagna2000.com/tornolo-santa-maria-taro-fontana-chiesa/,Territorio
Compiano Isola,https://www.montagna2000.com/compiano-isola/,Territorio
Albareto Scuole (Servizi igienici),https://www.montagna2000.com/albareto-scuole-servizi-igienici/,Territorio
Albareto Municipio,https://www.montagna2000.com/albareto-municipio/,Territorio
Valmozzola Stazione,https://www.montagna2000.com/valmozzola-stazione/,Territorio
Terenzo Palmia / Fontana paese (Monte bosso),https://www.montagna2000.com/terenzo-palmia-fontana-paese-monte-bosso/,Territorio
Terenzo Prinzera belvedere (punto unico con Fornovo),https://www.montagna2000.com/terenzo-prinzera-belvedere-punto-unico-con-fornovo/,Territorio
