alias_address,alias_city,geocode,geometry,georeferencingString,polygonKey,type
PRELIEVO: CASE DI MANZANO,COMUNE: Manzano,"Rione Case, UTI del Natisone, Friuli Venezia Giulia, 33044, Italia","{'type': 'Point', 'coordinates': [13.3940203, 45.9949193]}","Manzano, RIONE CASE",,POINT
PRELIEVO: LAUZACCO,COMUNE: Pavia di Udine,"Lauzacco, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.2816271, 45.9774371]}",LAUZACCO,,POINT
PRELIEVO: CORNO DI ROSAZZO,COMUNE: Corno di Rosazzo,"Corno di Rosazzo, UTI del Natisone, Friuli Venezia Giulia, 33040, Italia","{'type': 'Point', 'coordinates': [13.4415949, 45.9970608]}",Corno di Rosazzo,,POINT
PRELIEVO: VILLANOVA DEL J.,COMUNE: San Giovanni al Natisone,"Villanova dello Judrio, UTI del Natisone, Friuli Venezia Giulia, 33048, Italia","{'type': 'Point', 'coordinates': [13.418059, 45.9558139]}","San Giovanni al Natisone, Villanova del Judrio",,POINT
PRELIEVO: PREMARIACCO,COMUNE: Premariacco,"Premariacco, UTI del Natisone, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.3947783, 46.0606866]}",Premariacco,,POINT
PRELIEVO: PRADAMANO,COMUNE: Pradamano,"Pradamano, UTI del Friuli Centrale, Friuli Venezia Giulia, Italia","{'type': 'Point', 'coordinates': [13.30263, 46.033822]}",Pradamano,,POINT
PRELIEVO: SORGENTE POIANA,COMUNE: Pulfero,"Stupizza / Štupca, Pulfero, UTI del Natisone, Friuli Venezia Giulia, 33046, Italia","{'type': 'Point', 'coordinates': [13.471912, 46.2008983]}",Pulfero Stupizza,,POINT
PRELIEVO: POZZO ZIRACCO,COMUNE: Remanzacco,"Ziracco, UTI del Natisone, Friuli Venezia Giulia, 33047, Italia","{'type': 'Point', 'coordinates': [13.3425642, 46.1111402]}","Remanzacco, ZIRACCO",,POINT
PRELIEVO: POZZO S.GIORGIO,COMUNE: Cividale del Friuli,"Borgo S. Giorgio, Cividale del Friuli, UTI del Natisone, Friuli Venezia Giulia, 33043, Italia","{'type': 'Point', 'coordinates': [13.4245789, 46.0842169]}","Cividale del Friuli, S.GIORGIO",,POINT
PRELIEVO: POZZO S.NICOLÓ’,COMUNE: Manzano,"San Nicolò, UTI del Natisone, Friuli Venezia Giulia, 33044, Italia","{'type': 'Point', 'coordinates': [13.3790308, 45.9728464]}","Manzano, S.NICOLO’",,POINT
PRELIEVO: CIVIDALE,COMUNE: Cividale del Friuli,"Cividale del Friuli, Piazzale Ottavo Reggimento Alpini, Borgo San Domenico, Rubignacco, Cividale del Friuli, UTI del Natisone, Friuli Venezia Giulia, 33043, Italia","{'type': 'Point', 'coordinates': [13.4237252, 46.0951426]}","Cividale del Friuli, CIVIDALE",,POINT
PRELIEVO: PONTEACCO,COMUNE: San Pietro al Natisone,"Ponteacco / Pentjag, San Pietro al Natisone, UTI del Natisone, Friuli Venezia Giulia, 33049, Italia","{'type': 'Point', 'coordinates': [13.4910523, 46.1478527]}","San Pietro al Natisone, PONTEACCO",,POINT
PRELIEVO: PULFERO,COMUNE: Pulfero,"Pulfero / Podbonesec, UTI del Natisone, Friuli Venezia Giulia, 33046, Italia","{'type': 'Point', 'coordinates': [13.484132, 46.173027]}","Pulfero, PULFERO",,POINT
PRELIEVO: SORZENTO,COMUNE: San Pietro al Natisone,"Sorzento / Sarženta, San Pietro al Natisone, UTI del Natisone, Friuli Venezia Giulia, 33049, Italia","{'type': 'Point', 'coordinates': [13.4896361, 46.1402408]}","San Pietro al Natisone, SORZENTO",,POINT
PRELIEVO: MOIMACCO,COMUNE: Moimacco,"Moimacco, Via Cesarutta, Casali Chiasalp, Moimacco, UTI del Natisone, Friuli Venezia Giulia, 33040, Italia","{'type': 'Point', 'coordinates': [13.373436, 46.0886709]}","Moimacco, MOIMACCO",,POINT
PRELIEVO: ZIRACCO,COMUNE: Remanzacco,"Ziracco, UTI del Natisone, Friuli Venezia Giulia, 33047, Italia","{'type': 'Point', 'coordinates': [13.3425642, 46.1111402]}","Remanzacco, ZIRACCO",,POINT
PRELIEVO: CERNEGLONS,COMUNE: Remanzacco,"Cerneglons, UTI del Natisone, Friuli Venezia Giulia, 33047, Italia","{'type': 'Point', 'coordinates': [13.3100345, 46.0524258]}","Remanzacco, CERNEGLONS",,POINT
PRELIEVO: CLAUIANO,COMUNE: Trivignano Udinese,"Clauiano, UTI Agro Aquileiese, Friuli Venezia Giulia, 33057, Italia","{'type': 'Point', 'coordinates': [13.3325322, 45.9302608]}","Trivignano Udinese, CLAUIANO",,POINT
PRELIEVO: BUTTRIO,COMUNE: Buttrio,"Buttrio, Salita Stazione, Borgo Fumo, Buttrio, UTI del Natisone, Friuli Venezia Giulia, 33042, Italia","{'type': 'Point', 'coordinates': [13.3292287, 46.0126485]}","Buttrio, BUTTRIO",,POINT
