alias_city,alias_address,georeferencingString,type,polygonKey
COMUNE: Cividale del Friuli,PRELIEVO: CIVIDALE,"Cividale del Friuli, CIVIDALE",Point,
COMUNE: San Pietro al Natisone,PRELIEVO: PONTEACCO,"San Pietro al Natisone, PONTEACCO",Point,
COMUNE: Pulfero,PRELIEVO: PULFERO,"Pulfero, PULFERO",Point,
COMUNE: Corno di Rosazzo,PRELIEVO: CORNO DI ROSAZZO,"Corno di Rosazzo, CORNO DI ROSAZZO",Point,
COMUNE: San Pietro al Natisone,PRELIEVO: SORZENTO,"San Pietro al Natisone, SORZENTO",Point,
COMUNE: Moimacco,PRELIEVO: MOIMACCO,"Moimacco, MOIMACCO",Point,
COMUNE: Remanzacco,PRELIEVO: ZIRACCO,"Remanzacco, ZIRACCO",Point,
COMUNE: San Giovanni al Natisone,PRELIEVO: VILLANOVA DEL J.,"San Giovanni al Natisone, VILLANOVA DEL J.",Point,
COMUNE: Remanzacco,PRELIEVO: CERNEGLONS,"Remanzacco, CERNEGLONS",Point,
COMUNE: Pavia di Udine,PRELIEVO: LAUZACCO,"Pavia di Udine, LAUZACCO",Point,
COMUNE: Premariacco,PRELIEVO: PREMARIACCO,"Premariacco, PREMARIACCO",Point,
COMUNE: Trivignano Udinese,PRELIEVO: CLAUIANO,"Trivignano Udinese, CLAUIANO",Point,
COMUNE: Pradamano,PRELIEVO: PRADAMANO,"Pradamano, PRADAMANO",Point,
COMUNE: Pulfero,PRELIEVO: SORGENTE POIANA,"Pulfero, SORGENTE POIANA",Point,
COMUNE: Buttrio,PRELIEVO: BUTTRIO,"Buttrio, BUTTRIO",Point,
COMUNE: Remanzacco,PRELIEVO: POZZO ZIRACCO,"Remanzacco, POZZO ZIRACCO",Point,
COMUNE: Manzano,PRELIEVO: CASE DI MANZANO,"Manzano, CASE DI MANZANO",Point,
COMUNE: Cividale del Friuli,PRELIEVO: POZZO S.GIORGIO,"Cividale del Friuli, POZZO S.GIORGIO",Point,
COMUNE: Manzano,PRELIEVO: POZZO S.NICOLÓ’,"Manzano, POZZO S.NICOLÓ’",Point,
