alias_address,alias_city,georeferencingString,type
Pregasina,Riva del Garda,"Pregasina, Riva del Garda, TN, Trentino",POINT
Campi,Riva del Garda,"Campi, Riva del Garda, TN, Trentino",POINT
Porto San Nicolò,Riva del Garda,"Porto San Nicolò, Riva del Garda, TN, Trentino",POINT
Piazza Cavour,Riva del Garda,"Piazza Cavour, Riva del Garda, TN, Trentino",POINT
Fangolino,Riva del Garda,"Fangolino, Riva del Garda, TN, Trentino",POINT
Via Virgilio,Riva del Garda,"Via Virgilio, Riva del Garda, TN, Trentino",POINT
Rione Degasperi,Riva del Garda,"Rione Degasperi, Riva del Garda, TN, Trentino",POINT
S. Alessandro,Riva del Garda,"S. Alessandro, Riva del Garda, TN, Trentino",POINT
Varone,Riva del Garda,"Varone, Riva del Garda, TN, Trentino",POINT
Roma,Riva del Garda,"Roma, Riva del Garda, TN, Trentino",POINT
Piazza Catena,Riva del Garda,"Piazza Catena, Riva del Garda, TN, Trentino",POINT
Viale Damiano Chiesa,Riva del Garda,"Viale Damiano Chiesa, Riva del Garda, TN, Trentino",POINT
Viale dei Tigli,Riva del Garda,"Viale dei Tigli, Riva del Garda, TN, Trentino",POINT
