AMMONIO,ARSENICO,BICARBONATI,CALCIO,CLORO,CLORURI,CONDUCIBILITÀ,DUREZZA,FLUORURI,MAGNESIO,MANGANESE,NITRATI,NITRITI,POTASSIO,RESIDUO,SODIO,SOLFATI,alias_address,alias_city,data_report,pH
"<0,10",,261.6,71.6,"<0,05",6.4,366,21.5,"<0,50",9.2,<5,6.3,"<0,10","<5,0",224,,5.6,Comune,ASIAGO,15/12/2019,7.67
"<0,10",,234.0,59.6,"<0,05",5.9,343,21.4,"<0,50",12.7,<5,7.2,"<0,10","<5,0",211,5.3,14.1,Comune,BASSANO DEL GRAPPA,15/12/2019,7.79
"<0,10",,225.3,57.0,0.06,6.1,347,19.7,"<0,50",13.0,<5,7.8,"<0,10","<5,0",214,,17.5,Comune,BATTAGLIA TERME,15/12/2019,7.68
"<0,10",,285.7,58.0,"<0,05",5.8,419,24.1,"<0,50",24.9,<5,11.5,"<0,10","<5,0",254,5.3,13.2,Comune,BORGORICCO,15/12/2019,7.66
"<0,10","2,1",273.8,58.2,0.06,6.5,421,23.6,0.18,23.0,<5,14.5,"<0,10","<5,0",260,5.0,17.5,Comune,CADONEGHE,15/12/2019,7.79
"<0,10",,187.9,42.1,"<0,05",5.9,295,16.8,0.19,14.0,<5,6.1,"<0,10","<5,0",177,,18.1,Comune,CAMPO SAN MARTINO,15/12/2019,7.87
"<0,10",,269.3,58.2,0.08,6.3,411,22.6,"<0,50",22.6,<5,13.5,"<0,10","<5,0",250,5.6,16.4,Comune,CAMPODARSEGO,15/12/2019,7.74
"<0,10",,303.8,68.2,"<0,05",8.1,464,28.2,0.16,27.0,<5,18.5,"<0,10","<5,0",282,,13.9,Comune,CAMPODORO,15/12/2019,7.61
"<0,10",,169.8,46.5,0.20,,235,15.8,"<0,50",9.3,<5,2.8,"<0,10","<5,0",143,,,Comune,CAMPOLONGO - COMUNE DI VALBRENTA,15/12/2019,7.93
"<0,10",,271.8,58.4,0.06,6.3,417,24.0,0.19,23.5,<5,14.0,"<0,10","<5,0",252,,17.7,Comune,CAMPOSAMPIERO,15/12/2019,7.74
"<0,10",,203.0,46.7,0.08,5.8,315,18.8,0.27,14.4,<5,6.2,"<0,10","<5,0",200,5.2,20.1,Comune,CARMIGNANO DI BRENTA,15/12/2019,7.74
"<0,10","2,4",163.8,39.9,"<0,05",5.8,252,,"<0,50",8.3,<5,4.6,"<0,10","<5,0",149,,14.9,Comune,CARTIGLIANO,15/12/2019,7.96
"<0,10",,173.6,40.6,0.17,6.1,234,18.9,"<0,50",8.9,<5,2.9,"<0,10","<5,0",143,,8.9,Comune,CASSOLA,15/12/2019,7.90
"<0,10",,305.3,66.4,0.06,8.0,464,27.1,"<0,50",26.9,<5,18.3,"<0,10","<5,0",280,,13.9,Comune,CERVARESE SANTA CROCE,15/12/2019,7.62
"<0,10",,182.1,46.0,0.14,,251,19.4,0.19,7.4,<5,3.7,"<0,10","<5,0",148,,6.5,Comune,CISMON - COMUNE DI VALBRENTA,15/12/2019,7.93
"<0,10",,166.9,36.1,0.08,5.1,267,16.0,"<0,50",13.7,<5,3.7,"<0,10","<5,0",164,,19.2,Comune,CITTADELLA,15/12/2019,7.91
"<0,10",,209.6,54.8,"<0,05",5.8,298,18.5,"<0,50",7.0,<5,5.6,"<0,10","<5,0",182,,,Comune,CONCO - COMUNE DI LUSIANA CONCO,15/12/2019,7.87
"<0,10",,183.7,42.3,0.06,5.1,294,17.0,0.22,14.2,<5,6.2,"<0,10","<5,0",181,,18.7,Comune,CURTAROLO,15/12/2019,7.75
"<0,10",,287.0,87.1,0.10,,387,22.7,"<0,50",5.9,<5,5.1,"<0,10","<5,0",238,,5.0,Comune,ENEGO,15/12/2019,7.73
"<0,10",,170.1,38.4,0.12,6.0,267,15.6,0.24,13.9,<5,3.7,"<0,10","<5,0",168,,19.5,Comune,FONTANIVA,15/12/2019,7.85
"<0,10",,277.7,80.7,"<0,05",9.6,379,22.2,"<0,50",9.3,<5,5.1,"<0,10","<5,0",235,,5.1,Comune,FOZA,15/12/2019,7.76
"<0,10",,202.0,47.4,"<0,05",5.4,296,18.9,"<0,50",12.2,<5,6.8,"<0,10","<5,0",183,,15.2,Comune,GALLIERA VENETA,15/12/2019,7.89
"<0,10",,242.8,77.2,"<0,05",7.2,349,20.4,0.17,6.4,<5,4.8,"<0,10","<5,0",209,,5.9,Comune,GALLIO,15/12/2019,7.77
"<0,10",,225.3,58.0,0.05,6.1,349,19.4,"<0,50",13.1,<5,7.7,"<0,10","<5,0",214,,17.3,Comune,GALZIGNANO TERME,15/12/2019,7.84
"<0,10",,269.0,67.2,"<0,05",6.9,416,27.4,0.21,16.8,<5,11.6,"<0,10","<5,0",258,22.1,19.7,Comune,GAZZO,15/12/2019,7.66
"<0,10","2,5",164.8,38.5,"<0,05",5.3,269,17.0,"<0,50",13.6,<5,4.2,"<0,10","<5,0",156,,19.5,Comune,GRANTORTO,15/12/2019,7.88
"<0,10","3,0",225.5,56.4,"<0,05",6.1,356,19.7,0.20,13.2,<5,8.3,"<0,10","<5,0",217,,18.3,Comune,LIMENA,15/12/2019,7.74
"<0,10",,276.2,56.1,"<0,05",6.0,411,23.9,"<0,50",23.6,<5,11.5,"<0,10","<5,0",257,5.1,14.8,Comune,LOREGGIA,15/12/2019,7.67
"<0,10",,271.6,86.6,0.19,5.8,375,21.9,0.17,7.0,<5,4.9,"<0,10","<5,0",236,,5.6,Comune,LUSIANA - COMUNE DI LUSIANA CONCO,15/12/2019,7.80
"<0,10","2,5",318.0,86.3,"<0,05",6.7,471,26.8,"<0,50",13.7,<5,12.3,"<0,10","<5,0",299,5.8,15.2,Comune,MAROSTICA,15/12/2019,7.61
"<0,10","2,0",392.5,97.9,"<0,05",10.9,598,32.0,"<0,50",18.5,<5,13.6,"<0,10","<5,0",388,15.6,22.9,Comune,MASON VICENTINO - COMUNE DI COLCERESA,15/12/2019,7.52
"<0,10",,284.7,59.3,"<0,05",5.7,418,24.7,0.18,25.6,<5,11.6,"<0,10","<5,0",256,5.4,13.6,Comune,MASSANZAGO,15/12/2019,7.54
"<0,10",,304.9,67.1,0.08,8.1,465,27.4,0.16,26.9,<5,18.5,"<0,10","<5,0",280,,14.1,Comune,MESTRINO,15/12/2019,7.67
"<0,10",,457.6,117.1,0.14,16.1,707,38.9,0.25,22.3,<5,26.6,"<0,10","<5,0",455,15.7,24.7,Comune,MOLVENA - COMUNE DI COLCERESA,15/12/2019,7.55
"<0,10","2,5",230.8,58.1,0.05,6.0,351,20.4,0.19,13.5,<5,7.9,"<0,10","<5,0",218,5.0,17.4,Comune,MONTEGROTTO TERME,15/12/2019,7.68
"<0,10",,280.8,69.4,"<0,05",5.8,424,23.8,0.18,15.6,<5,10.7,"<0,10","<5,0",265,,17.2,Comune,NOVE,15/12/2019,7.66
"<0,10",,269.3,55.8,0.06,6.6,424,22.7,"<0,50",22.2,<5,15.6,"<0,10","<5,0",265,7.6,19.3,Comune,NOVENTA PADOVANA,15/12/2019,7.68
"<0,10",,461.8,118.5,0.18,16.6,724,39.4,"<0,50",23.2,<5,28.6,"<0,10","<5,0",465,16.5,24.9,Comune,PIANEZZE,15/12/2019,7.39
"<0,10",,223.4,57.6,0.13,6.2,347,19.7,0.20,13.4,<5,8.6,"<0,10","<5,0",214,,17.6,Comune,PIAZZOLA SUL BRENTA,15/12/2019,7.69
"<0,10",,281.8,56.1,"<0,05",5.6,416,24.6,"<0,50",25.3,<5,10.5,"<0,10","<5,0",260,5.1,12.8,Comune,PIOMBINO DESE,15/12/2019,7.65
"<0,10",,170.5,40.8,0.17,,234,16.4,"<0,50",8.6,<5,2.6,"<0,10","<5,0",147,,5.6,Comune,POVE DEL GRAPPA,15/12/2019,8.01
"<0,10",,282.8,57.0,0.06,5.8,408,24.4,"<0,50",24.6,<5,11.4,"<0,10","<5,0",251,5.2,14.4,Comune,RESANA,15/12/2019,7.67
"<0,10",,212.8,51.9,"<0,05",5.4,297,17.4,"<0,50",9.8,<5,4.6,"<0,10","<5,0",172,,,Comune,ROANA,15/12/2019,7.86
"<0,10",,208.2,47.9,"<0,05",5.2,294,19.8,"<0,50",12.9,<5,5.8,"<0,10","<5,0",175,,7.6,Comune,ROMANO D'EZZELINO,15/12/2019,7.85
"<0,10",,203.8,50.5,"<0,05",6.8,318,19.0,"<0,50",13.1,<5,7.8,"<0,10","<5,0",193,7.2,14.9,Comune,ROSÀ,15/12/2019,7.82
"<0,10",,210.5,49.9,"<0,05",6.7,308,23.5,"<0,50",12.3,<5,7.6,"<0,10","<5,0",189,,15.1,Comune,ROSSANO VENETO,15/12/2019,7.82
"<0,10",,217.9,57.8,0.16,5.7,302,17.8,"<0,50",10.6,<5,4.6,"<0,10","<5,0",176,,,Comune,ROTZO,15/12/2019,7.92
"<0,10",,297.1,63.7,"<0,05",7.6,452,25.7,"<0,50",25.3,<5,16.7,"<0,10","<5,0",275,,14.2,Comune,ROVOLON,15/12/2019,7.75
"<0,10",,269.5,62.9,0.10,7.0,412,24.1,0.16,20.2,<5,13.3,"<0,10","<5,0",245,,15.5,Comune,RUBANO,15/12/2019,7.58
"<0,10","3,0",252.2,58.4,0.06,6.8,385,21.7,0.21,16.3,<5,10.9,"<0,10","<5,0",237,,16.9,Comune,SACCOLONGO,15/12/2019,7.67
"<0,10",,248.1,57.8,"<0,05",6.3,395,22.2,"<0,50",20.4,<5,13.9,"<0,10","<5,0",249,,20.0,Comune,SAN GIORGIO DELLE PERTICHE,15/12/2019,7.79
"<0,10",,186.9,44.4,0.08,5.3,302,16.8,"<0,50",14.1,<5,7.0,"<0,10","<5,0",185,,18.2,Comune,SAN GIORGIO IN BOSCO,15/12/2019,7.89
"<0,10",,197.6,46.0,0.06,5.4,307,17.1,0.20,13.4,<5,7.4,"<0,10","<5,0",194,,17.3,Comune,SAN MARTINO DI LUPARI,15/12/2019,7.87
"<0,10",,170.1,41.3,0.18,,234,,0.18,8.5,<5,2.8,"<0,10","<5,0",134,,5.1,Comune,SAN NAZARIO - COMUNE DI VALBRENTA,15/12/2019,7.87
"<0,10",,320.0,78.1,"<0,05",6.9,479,26.9,0.22,18.5,<5,15.4,"<0,10","<5,0",292,5.5,19.7,Comune,SAN PIETRO IN GU,15/12/2019,7.59
"<0,10",,227.2,50.8,"<0,05",5.9,353,19.8,"<0,50",17.8,<5,9.5,"<0,10","<5,0",219,,18.1,Comune,SANTA GIUSTINA IN COLLE,15/12/2019,7.81
"<0,10",,267.2,61.3,"<0,05",6.4,417,24.7,"<0,50",23.7,<5,14.8,"<0,10","<5,0",266,5.1,18.3,Comune,SAONARA,15/12/2019,7.72
"<0,10","2,0",303.5,78.9,"<0,05",7.3,458,26.4,"<0,50",17.0,<5,12.1,"<0,10","<5,0",290,13.4,19.0,Comune,SCHIAVON,15/12/2019,7.67
"<0,10",,266.7,63.3,0.10,7.1,397,23.4,0.21,18.6,<5,11.8,"<0,10","<5,0",241,,16.6,Comune,SELVAZZANO DENTRO,15/12/2019,7.69
"<0,10",,167.8,41.2,0.16,,234,17.8,"<0,50",8.1,<5,3.0,"<0,10","<5,0",134,,6.1,Comune,SOLAGNA,15/12/2019,7.90
"<0,10","2,3",226.3,58.9,0.10,5.8,344,19.4,0.20,13.6,<5,7.7,"<0,10","<5,0",216,,17.0,Comune,TEOLO,15/12/2019,7.73
"<0,10",,195.7,47.9,"<0,05",5.4,299,18.8,0.20,11.9,<5,7.1,"<0,10","<5,0",183,,15.4,Comune,TEZZE SUL BRENTA,15/12/2019,7.84
"<0,10",,200.4,42.4,0.08,5.3,303,17.3,0.21,13.6,<5,6.8,"<0,10","<5,0",181,,17.4,Comune,TOMBOLO,15/12/2019,7.85
"<0,10","2,3",223.9,57.6,"<0,05",6.1,348,19.9,0.21,13.0,<5,7.9,"<0,10","<5,0",213,,17.3,Comune,TORREGLIA,15/12/2019,7.72
"<0,10",,285.2,56.4,0.06,5.5,418,24.4,0.19,24.3,<5,11.6,"<0,10","<5,0",249,5.3,13.2,Comune,TREBASELEGHE,15/12/2019,7.62
"<0,10",,168.9,40.7,0.19,5.2,237,,"<0,50",8.6,<5,3.0,"<0,10","<5,0",134,,5.9,Comune,VALSTAGNA - COMUNE DI VALBRENTA,15/12/2019,7.93
"<0,10",,308.2,64.9,0.12,7.9,465,27.1,"<0,50",24.3,<5,17.7,"<0,10","<5,0",282,,13.8,Comune,VEGGIANO,15/12/2019,7.60
"<0,10","2,8",266.2,57.6,"<0,05",6.8,419,23.3,"<0,50",22.2,<5,15.9,"<0,10","<5,0",269,39.6,19.8,Comune,VIGODARZERE,15/12/2019,7.74
"<0,10",,268.4,59.4,0.06,6.6,417,24.3,"<0,50",22.5,<5,15.0,"<0,10","<5,0",262,,19.1,Comune,VIGONZA,15/12/2019,7.65
"<0,10",,191.6,46.5,0.06,5.3,302,17.5,0.21,13.7,<5,6.9,"<0,10","<5,0",187,,17.6,Comune,VILLA DEL CONTE,15/12/2019,7.81
"<0,10","2,2",255.5,63.8,0.10,6.7,386,23.2,0.18,18.0,<5,10.9,"<0,10","<5,0",242,,16.7,Comune,VILLAFRANCA PADOVANA,15/12/2019,7.58
"<0,10",,286.6,56.7,0.06,5.7,419,24.3,"<0,50",24.8,<5,11.5,"<0,10","<5,0",251,5.2,13.5,Comune,VILLANOVA DI CAMPOSAMPIERO,15/12/2019,7.72
