alias_city,alias_address,georeferencingString
Affi,Comune,"Affi, Verona, Veneto, Italia"
Bardolino,Comune,"Bardolino, Verona, Veneto, Italia"
Brentino Belluno,Comune,"Brentino Belluno, Verona, Veneto, Italia"
Brenzone,Comune,"Brenzone, Verona, Veneto, Italia"
Caprino Veronese,Comune,"Caprino Veronese, Verona, Veneto, Italia"
Castelnuovo del Garda,Comune,"Castelnuovo del Garda, Verona, Veneto, Italia"
Cavaion Veronese,Comune,"Cavaion Veronese, Verona, Veneto, Italia"
Costermano,Comune,"Costermano, Verona, Veneto, Italia"
Dolcè,Comune,"Dolcè, Verona, Veneto, Italia"
Ferrara di Monte Baldo,Comune,"Ferrara di Monte Baldo, Verona, Veneto, Italia"
Garda,Comune,"Garda, Verona, Veneto, Italia"
Lazise,Comune,"Lazise, Verona, Veneto, Italia"
Malcesine,Comune,"Malcesine, Verona, Veneto, Italia"
Pastrengo,Comune,"Pastrengo, Verona, Veneto, Italia"
Peschiera del Garda,Comune,"Peschiera del Garda, Verona, Veneto, Italia"
Rivoli Veronese,Comune,"Rivoli Veronese, Verona, Veneto, Italia"
San Zeno di Montagna,Comune,"San Zeno di Montagna, Verona, Veneto, Italia"
Sant'Ambrogio di Valpolicella,Comune,"Sant'Ambrogio di Valpolicella, Verona, Veneto, Italia"
Torri del Benaco,Comune,"Torri del Benaco, Verona, Veneto, Italia"
Valeggio sul Mincio,Comune,"Valeggio sul Mincio, Verona, Veneto, Italia"
