alias_city,alias_address
Cappella Maggiore,Comune,
Codognè,Comune,
Colle Umberto,Comune,
Cordignano,Villa di Villa,
Cordignano,Via Piave
Gaiarine,Comune
Godega di Sant’Urbano,Comune,
Mareno di Piave,Comune,
Orsago,Comune,
Sarmede,Comune,
San Fior,
San Vendemiano,
Vazzola,Comune
Chiarano,Comune
Fontanelle,Comune
Gorgo al Monticano,Comune
Mansuè,Comune
Motta di Livenza,Comune
Oderzo,Comune
Ormelle,Comune
Portobuffolè,Comune
Ponte di Piave,Comune
Salgareda,Comune
San Polo di Piave,Comune
Casale sul Sile,Comune
Casier,Comune
Marcon,Comune
Meolo,Comune
Monastier di Treviso,Comune
Quarto d’Altino,Comune
Roncade,Comune
San Biagio di Callalta,Comune
Silea,Comune
Cimadolmo,Comune
Conegliano,Centro
Conegliano,Via Lourdes,
Conegliano,Parè,
Conegliano,Via Cettolini,
Conegliano,Costa Alta,
Conegliano,Monticella,
Conegliano,Campolongo,
Conegliano,Ogliano
Conegliano,Scomigo
Fregona,Borgo Luca
Fregona,Sonego
Fregona,Mezzavilla
Fregona,Breda
Fregona,Caglieron
Fregona,Osigo
Fregona,Crosetta
Fregona,Valsalega
San Pietro di Feletto,Comune
San Pietro di Feletto,Crevada
San Pietro di Feletto,San Michele di Feletto
San Pietro di Feletto,Santa Maria di Feletto,
San Pietro di Feletto,Bagnolo,
Santa Lucia di Piave,Comune
Mareno di Piave,Santa Maria del Piave
Susegana,Crevada
Susegana,Comune,
Susegana,Ponte della Priula,
Susegana,Colfosco
Susegana,Collalto
Vittorio Veneto,via Dalmazia
Vittorio Veneto,San Giacomo di Veglia
Vittorio Veneto,Fadalto Basso
Vittorio Veneto,Nove
Vittorio Veneto,Maren
Vittorio Veneto,Forcal
Vittorio Veneto,Longhere,
Vittorio Veneto,Bibanel
Cappella Maggiore,Borgo Masotto




